State,Action,Reward
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0027002700270027003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[1.0, 0.7586206896551724, 0.0, 0.0, 0.006000600060006001, 0.005900590059005901, 0.0, 0.0, 0.0, 0.7083333333333333, 0.1111111111111111, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0027002700270027003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.5517241379310345, 0.0, 0.0, 0.00010001000100010001, 0.012601260126012601, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0157015701570157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.010501050105010502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0070007000700070005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
