JobID,Description,Time,TotalDMsSent,TotalEMsSent,TotalSMSsSent,TotalCALLsSent,TimeSinceLastEmail,TimeSinceLastDM,TimeSinceLastCall,TimeSinceLastSMS,Age_segment,Segment,Reward,Nr_of_Sales,Nr_of_Opens,Nr_of_Clicks,Nr_of_Unsubs
55388.0,EMsent,2024-07-16,2,20,0,0,0.0,47.0,9999.0,9999.0,41-60,Best Ager,1.0,0,15,0,0
65489.0,EMsent,2024-09-08,3,24,0,0,0.0,3.0,9999.0,9999.0,41-60,Best Ager,1.0,0,19,0,0
60256.0,EMsent,2024-08-11,2,22,0,0,0.0,73.0,9999.0,9999.0,41-60,Best Ager,1.0,0,17,0,0
61960.0,EMsent,2024-08-21,2,23,0,0,0.0,83.0,9999.0,9999.0,41-60,Best Ager,1.0,0,18,0,0
,DM_Offersent,2024-09-05,3,23,0,0,15.0,98.0,9999.0,9999.0,41-60,Best Ager,0.0,0,19,0,0
66948.0,EMsent,2024-09-15,3,25,0,0,0.0,10.0,9999.0,9999.0,41-60,Best Ager,1.0,0,20,0,0
66963.0,EMsent,2024-09-16,3,26,0,0,0.0,11.0,9999.0,9999.0,41-60,Best Ager,1.0,0,21,0,0
44710.0,EMsent,2024-05-12,1,16,0,0,0.0,87.0,9999.0,9999.0,41-60,Best Ager,1.0,0,12,0,0
56805.0,EMsent,2024-07-25,2,21,0,0,0.0,56.0,9999.0,9999.0,41-60,Best Ager,1.0,0,16,0,0
44394.0,EMsent,2024-05-08,1,15,0,0,0.0,83.0,9999.0,9999.0,41-60,Best Ager,1.0,0,11,0,0
36466.0,EMsent,2024-03-21,1,9,0,0,0.0,35.0,9999.0,9999.0,41-60,Best Ager,0.0,0,8,0,0
42301.0,EMsent,2024-04-25,1,13,0,0,0.0,70.0,9999.0,9999.0,41-60,Best Ager,1.0,0,10,0,0
43658.0,EMsent,2024-05-02,1,14,0,0,0.0,77.0,9999.0,9999.0,41-60,Best Ager,0.0,0,11,0,0
26296.0,EMsent,2024-01-26,0,2,0,0,0.0,9999.0,9999.0,9999.0,41-60,Best Ager,1.0,0,1,0,0
26376.0,EMsent,2024-01-28,0,3,0,0,0.0,9999.0,9999.0,9999.0,41-60,Best Ager,1.0,0,2,0,0
27986.0,EMsent,2024-02-08,0,4,0,0,0.0,9999.0,9999.0,9999.0,41-60,Best Ager,1.0,0,3,0,0
28232.0,EMsent,2024-02-11,0,5,0,0,0.0,9999.0,9999.0,9999.0,41-60,Best Ager,1.0,0,4,0,0
,DM_Offersent,2024-02-15,1,5,0,0,4.0,9999.0,9999.0,9999.0,41-60,Best Ager,0.0,0,5,0,0
24494.0,EMsent,2024-01-14,0,1,0,0,0.0,9999.0,9999.0,9999.0,41-60,Best Ager,1.0,0,0,0,0
34062.0,EMsent,2024-03-10,1,7,0,0,0.0,24.0,9999.0,9999.0,41-60,Best Ager,1.0,0,6,0,0
